measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2019,0.2750475181878343,0.3239946968700467,0.2065489670754356
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2019,476.56725885563003,601.4373323881799,347.29059327365997
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2010,0.0842199364257807,0.1147417757706039,0.0510928086940497
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2010,104.41172458128,144.79740961148,62.659321025100006
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2011,0.0853268669107861,0.1142396553703939,0.0539505682949877
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2011,106.04460694849001,141.63890593588002,63.992854469259996
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2012,0.0864047124607438,0.1122278737638512,0.0550785679139265
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2012,106.15371263812,141.81244567278,63.134813966980005
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2013,0.0878747904909745,0.1151816094672363,0.0568002856207307
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2013,106.56700507025,140.98511739523,69.24113638577
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2014,0.089678127813305,0.1170080163785972,0.0577511541400663
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2014,107.46991171599,145.10110896955,68.7766088171
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2015,0.091623843850324,0.1220570769414667,0.0590668972958654
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2015,110.77574519676001,150.12719636111999,69.66339276114999
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2016,0.0945521337523114,0.1215912945824141,0.0624029331652454
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2016,113.8929065666,150.6155001428,74.85131912991
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2017,0.0980038445161064,0.1242983713690083,0.0674093802833736
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2017,118.18378839580998,156.86219947146,83.86231491683
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2018,0.1012186378750278,0.1294138299679067,0.0713212899913328
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2018,122.3549123796,167.14001952943,86.21841100243999
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2019,0.10331158196741,0.135044445565721,0.0707719872534699
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2019,125.42936981362999,169.08921694587,85.32849412079
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2010,0.0397332988455579,0.0844717229978408,0.0145897553484318
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2010,55.35600019986,119.32882972915,20.50449614979
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2011,0.0399757641609502,0.0764626880072341,0.0174867667971092
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2011,55.18670277267,103.38213346847999,24.16949487742
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2012,0.0396187808931511,0.0685165194573513,0.0191452284137532
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2012,54.24859747333,95.07865590041,26.08553670253
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2013,0.0399045252760773,0.0683884680632705,0.0184301777737067
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2013,54.84391286266,96.77489950431,26.123290042929998
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2014,0.0402244133182908,0.0727560800179523,0.0181897137770811
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2014,55.26078529696,105.62483080974,24.59283942923
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2015,0.0406271526778264,0.0799658403082502,0.0151243426608934
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2015,55.84222520098,116.35939476738,20.030891779060003
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2016,0.0414427315270971,0.0731463623215936,0.0192980358488661
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2016,56.9040852323,107.11825213614999,25.38971177622
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2017,0.0428951809796517,0.0746175302576338,0.0208708158121838
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2017,58.87353176241,104.30416160861,27.838374448600003
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2018,0.0442882238038567,0.0822363842640239,0.019924321407013
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2018,60.5781814069,114.99259275645001,25.611390218560004
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2019,0.0451434402577056,0.097891652973554,0.014798809135961
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2019,61.48530663203999,133.61092894406,19.848131134910002
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2010,0.138155831820145,0.168082792311715,0.0979882633010997
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2010,1858.12409511962,2274.21469313597,1330.27093330533
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2011,0.135801885784027,0.1650028379652861,0.0970084899842263
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2011,1740.6441070084397,2116.1744161984097,1253.8710421881601
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2012,0.1327167778833528,0.1617741715044772,0.096704853082348
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2012,1719.16693950364,2096.00847310332,1261.86933881948
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2013,0.1288369412993636,0.1570448685300569,0.0960873455696438
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2013,1607.08912337364,1962.30522981282,1205.24887092509
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2014,0.1245454178579982,0.1527997759769089,0.0932947819322967
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2014,1606.63766158835,1979.33526225836,1204.2358712052699
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2015,0.1200338882742477,0.1489590213720872,0.0901137437377466
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2015,1552.48522295881,1921.46405671895,1175.27363048043
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2016,0.1145315303602955,0.1420828878401761,0.0870231461760477
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2016,1485.07403359065,1844.89124967934,1124.7084572762
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2017,0.1082126333330279,0.1345514317440228,0.0825403792278676
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2017,1411.24095961785,1771.4694449652,1060.43136714047
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2018,0.1027628123957637,0.1286457424638508,0.0771233785429919
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2018,1353.84610231886,1700.10775562974,1008.98507479455
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2019,0.0994319675924152,0.1258819871977611,0.072773603839544
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2019,1301.74010327915,1662.2807403149297,957.17428019173
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2010,0.0914115782581322,0.1331428323134169,0.0503608427117132
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2010,603.93386315605,890.97063509783,325.48591257862
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2011,0.0929134906741709,0.1324135243665169,0.0525608956200115
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2011,613.30107090169,877.72689598271,326.4081772769
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2012,0.0956221201426239,0.131739534208215,0.053508486516157
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2012,639.65179986109,930.34414793809,352.73176784924004
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2013,0.098868433373075,0.1340129447191417,0.0542176623117
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2013,666.0497747337499,953.1652404052999,359.41163752096
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2014,0.1021933173566071,0.1393141903842575,0.0547864699824401
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2014,693.75356722755,972.2530235158001,360.86018305093
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2015,0.1053555849865981,0.1433036762711315,0.0563870934723667
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2015,727.2318236730499,1054.0530017295,387.16827913065
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2016,0.1092053300651433,0.1453373306374816,0.0599684455502216
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2016,757.67545297736,1044.5573703967,425.46663514209996
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2017,0.1137858052874613,0.1504483173630333,0.0639269554495276
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Rate,2017,794.17113266936,1085.1483717268,440.10853289961
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Cardiovascular diseases,Ambient particulate matter pollution,Percent,2018,0.1179216724780412,0.1582298487772055,0.067947582943113
