measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Tunisia,Both,Age-standardized,COVID-19,Rate,2020,51.62600186351795,90.64746609725665,38.70813471998518
Deaths,Albania,Both,Age-standardized,COVID-19,Rate,2020,85.0526084083505,136.04399786327176,35.197797792404344
Deaths,Netherlands,Both,Age-standardized,COVID-19,Rate,2020,35.26421861723702,38.916240661209414,31.363516041651753
Deaths,Cambodia,Both,Age-standardized,COVID-19,Rate,2020,4.9334568989502115e-11,4.933456898950239e-11,4.933456898950239e-11
Deaths,Andorra,Both,Age-standardized,COVID-19,Rate,2020,53.47687359490787,97.46095632052635,31.187848453470124
Deaths,Paraguay,Both,Age-standardized,COVID-19,Rate,2020,42.96446401005885,64.73693849063662,24.86688730427256
Deaths,Central African Republic,Both,Age-standardized,COVID-19,Rate,2020,397.16061035646715,531.7366369086498,262.8627771016302
Deaths,Northern Mariana Islands,Both,Age-standardized,COVID-19,Rate,2020,5.80602553783888,8.284948445608785,4.250165381168469
Deaths,Uzbekistan,Both,Age-standardized,COVID-19,Rate,2020,75.53150391762786,106.85551684232338,36.6898703032545
Deaths,Bahrain,Both,Age-standardized,COVID-19,Rate,2020,103.98864085649038,119.25540861531562,85.9849105710899
Deaths,Angola,Both,Age-standardized,COVID-19,Rate,2020,128.6477938729719,149.67808626416218,104.74485281357178
Deaths,Barbados,Both,Age-standardized,COVID-19,Rate,2020,1.5907149384792445,1.5907149384792332,1.5907149384792332
Deaths,Mozambique,Both,Age-standardized,COVID-19,Rate,2020,75.17580794655667,107.99634431582808,45.48124622075002
Deaths,Sierra Leone,Both,Age-standardized,COVID-19,Rate,2020,150.9019699828823,177.47071959389095,131.3614461156724
Deaths,Monaco,Both,Age-standardized,COVID-19,Rate,2020,8.977867344983583,28.933603644515316,2.7898404359989937
Deaths,Ghana,Both,Age-standardized,COVID-19,Rate,2020,101.65250005925881,112.2839904614499,91.92362660378171
Deaths,Austria,Both,Age-standardized,COVID-19,Rate,2020,37.88554250890373,40.059496212607094,35.83906560161023
Deaths,Turkey,Both,Age-standardized,COVID-19,Rate,2020,106.71409660011274,128.82831335157505,80.84082210092541
Deaths,Gabon,Both,Age-standardized,COVID-19,Rate,2020,186.78520370524745,203.25139104783722,171.56014298621915
Deaths,Ecuador,Both,Age-standardized,COVID-19,Rate,2020,235.6033206554387,279.1405850355484,192.20758031177934
Deaths,Belize,Both,Age-standardized,COVID-19,Rate,2020,99.80803017832874,118.48175066886759,82.2308484303655
