Country,PM2.5,All-cause DALYs,SDI,SDI_category
Spain,10.995000000000001,305.896050092138,0.7512376814916611,High
Sri Lanka,23.948,1102.3836625584731,0.6651415711107189,High
Sudan,22.158,2413.956166351236,0.4814503332712932,Medium
Suriname,12.211,2065.8756898563347,0.6131437361933652,High
Sweden,6.531999999999999,124.062297058894,0.870967789277843,Very High
Switzerland,10.907,283.56108592033,0.9208669748579617,Very High
Syrian Arab Republic,24.726999999999997,2902.1843959360763,0.6036945176030689,Medium
Tajikistan,63.496,1785.242662140702,0.5142774568024724,Medium
Thailand,24.884,1335.9236044175718,0.6516360659947276,High
Timor-Leste,20.169,1226.187891551235,0.4211368225699542,Low
Togo,36.198,1263.1564263331709,0.3636372311107667,Low
Tonga,7.261,706.383292981657,0.5957093908492047,Medium
Trinidad and Tobago,10.347,1762.029022087017,0.7491074079729497,High
Tunisia,26.395999999999997,1745.612174237745,0.6503716314075331,High
Turkmenistan,31.612000000000002,3052.062630622833,0.6496956032952368,High
Tuvalu,6.8420000000000005,282.651101997265,0.5430284640455056,Medium
Türkiye,23.063,1708.7857080415001,0.6575769986487783,High
Uganda,31.619,632.125109203847,0.3677420215171166,Low
Ukraine,15.122,1847.8160511594,0.7402320142111087,High
United Arab Emirates,43.039,3660.560482230843,0.8354940940390503,Very High
United Kingdom,11.244,349.410061111997,0.8365008183058966,Very High
United Republic of Tanzania,15.419999999999998,545.33024371754,0.3913146903884675,Low
United States of America,8.421,307.670689931894,0.8425912169474998,Very High
Uruguay,9.287,444.80767341745906,0.6829586894672803,High
Uzbekistan,48.643,3522.0103038764123,0.6369608791138452,High
Vanuatu,8.431000000000001,577.201930307374,0.4482786406657452,Low
Venezuela (Bolivarian Republic of),19.384,1259.860986551296,0.6072477536385146,Medium
Viet Nam,21.133000000000003,946.5632417168439,0.5900539431322283,Medium
Yemen,40.716,2451.38692326023,0.4233511181242119,Low
Zambia,17.213,734.166171599758,0.4409456607369641,Low
Zimbabwe,13.169,745.147042833435,0.4425877278831771,Low
