Country,COVID_Deaths_Rate,upper,lower,Mean_PM25_2010_2019,Year,SDI_mean_value
Zambia,62.05917611618362,70.23018059032225,54.40313541945952,17.213,2020,0.49748556148019
Comoros,38.005134590062006,42.00380795980757,35.168377918715926,14.187000000000001,2020,0.472003132433584
Sao Tome and Principe,34.70925642049843,38.13323467826919,31.420952824227605,33.167,2020,0.497861408762174
Equatorial Guinea,77.46078847384167,101.1985655343632,59.14182641353337,25.604000000000003,2020,0.652124902941809
Niue,2.998972352391856e-07,2.998972352391835e-07,2.998972352391835e-07,6.553,2020,0.722790249813625
Montenegro,136.69652649298652,171.88448723741018,107.61841698342133,23.608,2020,0.792554392852858
Greece,48.10397899251048,50.51837932206949,45.89992687548733,16.701,2020,0.789632219998033
Jamaica,10.888567666668015,10.898878331311836,10.87877298516001,15.124,2020,0.680567176976565
Honduras,97.3677032850087,111.11206527888194,82.27916266197585,22.294999999999998,2020,0.508669245938408
South Africa,191.8139489716956,191.94080464461936,191.61484124575173,19.07,2020,0.677166096009468
Madagascar,70.04359295526378,75.68029931814348,64.61954651927444,16.294999999999998,2020,0.392778708989164
Jordan,60.25196380124128,77.62476823743036,39.14524677963438,25.064,2020,0.720068239915947
Mexico,212.12286969275576,254.596607117723,172.99276785572152,21.268,2020,0.660119061584711
Iceland,9.49771558356761,10.99868743405623,8.109863946289058,6.298,2020,0.874323153425611
Slovakia,71.98704822998238,114.4033423978115,34.95420384571686,19.410999999999998,2020,0.80830596588062
Luxembourg,78.3972278556682,94.93110499835564,62.26460124555053,10.626999999999999,2020,0.882495316094676
Morocco,115.04237959952624,135.47557890841642,92.11639408228706,13.378,2020,0.555246068582659
Croatia,99.82326708500608,139.86485290418824,67.58056328825582,18.985,2020,0.795462271729482
Burkina Faso,55.89138455446328,60.69902778660356,50.13785236213756,41.332,2020,0.279871317215145
Lithuania,153.01425634417384,217.39367232989864,91.12257164733606,11.754,2020,0.85275238761541
Seychelles,4.785412262040213e-09,4.785412262040224e-09,4.785412262040224e-09,17.148,2020,0.726663769455011
Finland,13.903930585414264,22.508050142785507,9.6562466126089,6.003,2020,0.857655552665083
Sweden,95.28452934283553,102.61202918169336,87.70608501870326,6.531999999999999,2020,0.88506201036603
Costa Rica,48.42327066319433,66.72406880289014,33.19310670866274,17.674,2020,0.696194605172093
Kuwait,43.99921121768924,56.48727354280964,31.248716810666597,65.13199999999999,2020,0.843459812023503
India,68.6771185506763,72.66079819100513,64.50467827413775,54.54600000000001,2020,0.568138149330912
Djibouti,93.99106774462145,113.60230273583366,72.18746851668914,20.541,2020,0.481879945321652
Algeria,98.64398387376532,100.62873944172624,96.46082962208196,22.371000000000002,2020,0.65365146606094
Syrian Arab Republic,39.97222815002033,48.90228391546146,29.86426225136624,24.726999999999997,2020,0.61772759307296
Palau,2.7646380355358383e-08,2.764638035535848e-08,2.764638035535848e-08,7.685,2020,0.75278092905906
Botswana,37.205999840806015,42.427841195955246,32.886255855882425,13.088,2020,0.639275298342726
Mali,72.67377323547235,78.81939031658041,65.31370920415152,39.126999999999995,2020,0.262629218759395
Gambia,86.11802198578134,101.7223070998188,74.96607622562475,38.706,2020,0.40452419422916
Indonesia,32.66731658767365,67.05438075018706,10.621371597885522,19.61,2020,0.651926647922518
Vanuatu,1.6308791102632563e-09,1.6308791102632627e-09,1.6308791102632627e-09,8.431000000000001,2020,0.470038390856612
Bosnia and Herzegovina,136.94642605645836,187.48786214805767,89.40760924095966,31.915999999999997,2020,0.720202056378697
Cyprus,10.829281586113728,27.99282683305942,5.774767989903376,15.663,2020,0.833059522677264
Cuba,8.127217562878023,36.43699551486127,1.069304853035434,13.775,2020,0.665210747223401
Iran (Islamic Republic of),64.99144135916421,76.88442734091562,53.7740616744701,30.125999999999998,2020,0.691918763371909
Ethiopia,55.31886141130333,59.79286868211445,51.352427819752,22.129,2020,0.353216349837522
Lesotho,132.24572750210186,145.76679519299353,118.06991931266316,17.762999999999998,2020,0.50674665490739
Cambodia,2.9705840589041314e-11,2.9705840589041055e-11,2.9705840589041055e-11,17.899,2020,0.468876053670987
Switzerland,86.49496095586403,92.51769730103732,81.39896292332848,10.907,2020,0.932027644512362
Guyana,80.49270979543205,140.5063536191781,34.800281686874605,11.097,2020,0.642284644781673
Sudan,69.49519940581511,85.21982869109658,51.19162050008821,22.158,2020,0.533455421993626
Cook Islands,2.8159857609079144e-08,2.8159857609078985e-08,2.8159857609078985e-08,7.522,2020,0.774700577781853
Afghanistan,112.96994366714992,150.72004611552816,85.35455359360262,67.013,2020,0.32983006796412
Republic of Moldova,111.29218298143688,142.17778983405415,77.89492948724634,14.186000000000002,2020,0.727710540349217
Guinea,88.88960239217647,107.33463927311178,74.38498345174744,37.827,2020,0.329877997039031
Czechia,123.15846177876172,169.24158781864966,83.81583495388068,17.917,2020,0.82662663116323
Lebanon,119.0132658762994,138.04047283700257,102.43215996261276,23.970999999999997,2020,0.742009720142934
Ukraine,60.43710140705456,124.68005049822284,19.273720734146437,15.122,2020,0.759929872218543
Guatemala,79.25800361006176,104.81676109332348,55.67101380240225,24.822,2020,0.534571414248156
Bangladesh,74.25486178181218,100.06615911592222,63.662496244780215,49.53,2020,0.483079169271683
Burundi,28.23792379068664,31.081382644860152,26.042165423507708,28.067,2020,0.286496000475545
Namibia,67.9027962153298,77.50283672524752,60.83792787653872,11.943999999999999,2020,0.614435889089058
Guinea-Bissau,115.3061125385946,130.93862019541075,101.28531058546308,34.938,2020,0.347798997943486
Saint Kitts and Nevis,0.0012843942043672,0.0020644120985203,0.0006560723192397,8.22,2020,0.75156840922289
Nepal,77.1603662829777,83.92231863342258,52.85389460994288,39.32899999999999,2020,0.427417089099115
Eritrea,11.411629275024634,22.233728297937763,8.492683939287543,22.526,2020,0.400459411382762
Andorra,99.49873464164506,180.0402625982279,58.55927593491601,9.943000000000001,2020,0.867449169102346
Ireland,45.438657406564296,49.32318409833949,41.73995929757118,8.988,2020,0.871958822388357
Chile,112.95868489361132,118.06204026503823,108.00838610174942,22.628,2020,0.769213676196926
Nicaragua,134.52473660946023,157.0761047278418,110.18757579679726,19.433,2020,0.520292670400273
Eswatini,169.5291758733033,188.7695714015232,155.24978567745927,14.859,2020,0.581653071099534
Senegal,65.22024555547094,70.88895016171278,54.51364892758773,38.364,2020,0.401197515620742
Poland,139.41243689105397,175.93362785945558,111.80097250294388,23.185,2020,0.808795317506383
Romania,158.68561947831927,220.75129074013293,99.01620121196612,16.009999999999998,2020,0.764276444363666
Mauritius,0.7988350740095872,1.1739809092746032,0.4718899914795256,10.578999999999999,2020,0.714629803881546
Zimbabwe,86.79842040723699,97.07780486958258,74.37409656023745,13.169,2020,0.471573170735407
Philippines,11.569004813246194,16.498719700205502,7.196667148716288,22.659,2020,0.644867233233664
Azerbaijan,148.02696399881657,184.6563096228344,109.7901568213362,29.648000000000003,2020,0.692605192199032
Russian Federation,112.22262898689684,127.89484270654756,97.39192601375314,9.857000000000001,2020,0.806011474298182
Mauritania,63.17816994457596,75.17224555865282,48.23052529601335,41.769999999999996,2020,0.491365602592056
Oman,46.68540463625276,51.22418083467772,42.0294194176211,35.818,2020,0.768854215658189
Pakistan,90.08351745324326,96.06754453560131,83.67900343148719,55.15,2020,0.497364405611904
Monaco,25.541950198972685,82.31236908147868,7.938897599092078,10.484,2020,0.90668543677348
Hungary,107.561122447837,146.59572267285986,76.49685511127167,17.441,2020,0.787620389699141
Tuvalu,4.0940670798481915e-08,4.094067079848174e-08,4.094067079848174e-08,6.8420000000000005,2020,0.571666102458017
Uruguay,5.699160946193531,5.699160946193581,5.699160946193581,9.287,2020,0.716169766093523
Germany,39.40949705237272,43.90228032895038,36.5416837596844,12.849,2020,0.901438614019463
Antigua and Barbuda,5.605017682315244,6.791566943466781,4.685967856441357,8.498999999999999,2020,0.746345330021488
Dominica,7.426437347039743e-09,7.426437347039724e-09,7.426437347039724e-09,8.382000000000001,2020,0.744419943891979
Venezuela (Bolivarian Republic of),180.03624742908798,195.34917010605628,163.6775158909682,19.384,2020,0.60003478118243
Libya,71.31227778610533,82.36458878522164,56.804553743983575,29.698,2020,0.720270392863655
Congo,77.21392589955133,86.90045178080855,61.46623264608801,29.580000000000002,2020,0.578451546357964
Suriname,21.25542375892287,22.20730908935407,21.112453113389147,12.211,2020,0.630683705083472
Japan,2.71456126331636,3.0703090618549123,2.423480203519094,12.625,2020,0.869106879336459
Kenya,93.2476968292164,101.43168504270716,85.9780481149878,12.482,2020,0.516136571818187
Benin,24.480803191465423,29.70724230342596,18.2634089489098,31.851999999999997,2020,0.36696448721315
Nigeria,38.63730895990837,42.25435843765667,35.625862475744206,55.2,2020,0.496204741160216
Georgia,149.9908624670421,190.24430948631857,106.07196075946004,22.669,2020,0.729125888954526
Viet Nam,0.5984647800669395,1.1456197700749973,0.1421539940553851,21.133000000000003,2020,0.623090320139283
South Sudan,84.95099494470051,94.95595183424794,72.63969668541706,21.593,2020,0.276787923789994
Belarus,196.70591358742044,245.004428585467,155.2558292643045,16.928,2020,0.782381564892966
Tunisia,52.8883938620003,92.8634045658141,39.65778962500867,26.395999999999997,2020,0.677615147910612
Angola,39.13275480950506,45.5857955968028,31.882865463434037,25.109,2020,0.447283991858922
Belize,63.228922690488375,75.29787553282618,51.76911245384351,10.591,2020,0.607060046133776
Malawi,34.942640664702225,38.534867164307634,31.777218186800503,18.702,2020,0.377879020413869
Mozambique,23.39435481840534,33.61273689510184,14.159107570501432,16.526,2020,0.320291181995807
Cabo Verde,26.977307144181125,37.66926604166187,20.31308309920704,31.206,2020,0.528461594777472
Cameroon,42.16480239118536,45.40294514668744,39.15973535905466,56.202,2020,0.472285846440991
Niger,45.576308138738426,51.94208785958928,40.78699618869532,50.415,2020,0.164539264581005
Brunei Darussalam,3.3198751170847505,13.614322510832327,0.4195119270975313,7.678,2020,0.80742409075008
Qatar,15.73280759889953,19.176652529593213,11.410677919709345,62.363,2020,0.841467395353032
